name,Country,Gender,Sport,Discipline,Event,Year
Olga Kolkova,URS,Women,Rowing,Rowing,eight with coxswain (8+),1976
Gary John Anderson,NZL,Men,Cycling,Cycling Track,Individual Pursuit,1992
Yumilka Ruiz,CUB,Women,Volleyball,Volleyball,volleyball,1996&2000
Eldari Kurtanidze,GEO,Men,Wrestling,Wrestling Free.,82 - 90kg (light-heavyweight)&85 - 97kg,1996&2000
Robin Beauregard,USA,Women,Aquatics,Water polo,water polo,2000&2004
Valeri Didenko,URS,Men,Canoe,Canoe,K-4 1000m (kayak four),1972
Ryoji Isaoka,JPN,Men,Weightlifting,Weightlifting,75 - 82.5kg total (light-heavyweight),1984
John Chester Williams,USA,Men,Archery,Archery,individual FITA round,1972
Catalien Neelissen,NED,Women,Rowing,Rowing,eight with coxswain (8+),1984
Istvan Vaskuti,HUN,Men,Canoe,Canoe,C-2 500m (canoe double),1980
Ronny Weller,GDR,Men,Weightlifting,Weightlifting,100 - 110kg total (heavyweight)&+ 108kg total (super heavyweight)&+ 105kg,1988&1992&1996&2000
Jianjun Liu,CHN,Men,Badminton,Badminton,doubles,1996
Werner Seibold,FRG,Men,Shooting,Shooting,50m rifle 3 positions (3x40 shots),1976
Ou Liu,CHN,Women,Aquatics,Synchronized S.,team,2008
Margarita Aliychuk,RUS,Women,Gymnastics,Rhythmic G.,group competition,2008
Antonia Moraiti,GRE,Women,Aquatics,Water polo,water polo,2004
Hee-Kyung Wang,KOR,Women,Archery,Archery,individual FITA round&teams FITA round,1988
Robert Brian Mcmahon,CAN,Men,Rowing,Rowing,eight with coxswain (8+),1984
Ulrich Robeiri,FRA,Men,Fencing,Fencing,Zpze team,2008
Geoff Huegill,AUS,Men,Aquatics,Swimming,100m butterfly&4x100m medley relay,2000
Csaba Horvath,HUN,Men,Canoe,Canoe,C-2 1000m (canoe double)&C-2 500m (canoe double),1996
Song Hui Ri,PRK,Women,Weightlifting,Weightlifting,58kg,2000&2004
Kim Vandenberg,USA,Women,Aquatics,Swimming,4x200m freestyle relay,2008
Andrei Yakubik,URS,Men,Football,Football,football,1972
Ursula Holl,GER,Women,Football,Football,football,2008
David Crawshay,AUS,Men,Rowing,Rowing,double sculls (2x),2008
Jerzy Pietrzyk,POL,Men,Athletics,Athletics,4x400m relay,1976
Violeta Ninova,BUL,Women,Rowing,Rowing,double sculls (2x),1988
Noemi Toth,ITA,Women,Aquatics,Water polo,water polo,2004
Adrian Delano Dantley,USA,Men,Basketball,Basketball,basketball,1976
Jean-Claude Brondani,FRA,Men,Judo,Judo,open category,1972
Simone Raineri,ITA,Men,Rowing,Rowing,quadruple sculls without coxswain (4x),2000&2008
Leonard Spinks,USA,Men,Boxing,Boxing,75 - 81kg (light-heavyweight),1976
Sharon Hambrook,CAN,Women,Aquatics,Synchronized S.,duet,1984
Jaejin Lee,KOR,Men,Badminton,Badminton,doubles,2008
Welissa Gonzaga,BRA,Women,Volleyball,Volleyball,volleyball,2008
Hartmut Briesenick,GDR,Men,Athletics,Athletics,shot put,1972
Jang-Soon Park,KOR,Men,Wrestling,Wrestling Free.,62 - 68kg (lightweight)&68 - 74kg (welterweight),1988&1992&1996
Jeff Pfaendtner,USA,Men,Rowing,Rowing,lightweight coxless four (4-),1996
Dmitriy Dobroskok,RUS,Men,Aquatics,Diving,synchronized diving 10m platform,2008
Olaf Heukrodt,GDR,Men,Canoe,Canoe,C-1 500m (canoe single)&C-2 1000m (canoe double),1980&1988&1992
Nikolai Gorbachev,URS,Men,Canoe,Canoe,K-2 1000m (kayak double),1972
Andrei Cherkasov,EUN,Men,Tennis,Tennis,singles,1992
Gueorgui Pogossov,URS,Men,Fencing,Fencing,sabre team,1988&1992
John Gall,USA,Men,Baseball,Baseball,baseball,2008
Rajko Jokanovic,YUG,Men,Volleyball,Volleyball,volleyball,1996
Tamara Crow,USA,Women,Aquatics,Synchronized S.,team,2004
Maria Vadasz,HUN,Women,Handball,Handball,handball,1976
Tom Malchow,USA,Men,Aquatics,Swimming,200m butterfly,1996&2000
Fei Ge,CHN,Women,Badminton,Badminton,doubles,1996&2000
Xavi Arnau,ESP,Men,Hockey,Hockey,hockey,1996
Ricardo Rojas,CUB,Men,Boxing,Boxing,75 - 81kg (light-heavyweight),1980
Hiroshi Kajiyama,JPN,Men,Gymnastics,Artistic G.,team competition&vault,1976
Claudette Herbster-josland,FRA,Women,Fencing,Fencing,foil team,1976
Francesco Damiani,ITA,Men,Boxing,Boxing,+ 91kg (super heavyweight),1984
Ronaldo Senfft,BRA,Men,Sailing,Sailing,fleet/match race keelboat open (Soling),1984
Christina Heinich,GDR,Women,Athletics,Athletics,4x100m relay,1972
Mario Aldo Montano,ITA,Men,Fencing,Fencing,sabre team,1972&1976&1980
Vera Zvonareva,RUS,Women,Tennis,Tennis,singles,2008
JYrgen Bertow,GDR,Men,Rowing,Rowing,double sculls (2x),1976
Kyoko Ishida,JPN,Women,Volleyball,Volleyball,volleyball,1984
Boris Sanson,FRA,Men,Fencing,Fencing,sabre team,2008
Jan Dupont Mathiasen,DEN,Men,Sailing,Sailing,fleet/match race keelboat open (Soling),1988
