name,gold,silver,bronze,score
Olga Kolkova,0,1,0,2
Gary John Anderson,0,0,1,1
Yumilka Ruiz,2,0,0,6
Eldari Kurtanidze,0,0,2,2
Robin Beauregard,0,1,1,3
Valeri Didenko,1,0,0,3
Ryoji Isaoka,0,0,1,1
John Chester Williams,1,0,0,3
Catalien Neelissen,0,0,1,1
Istvan Vaskuti,1,0,0,3
Ronny Weller,1,2,1,8
Jianjun Liu,0,0,1,1
Werner Seibold,0,0,1,1
Ou Liu,0,0,1,1
Margarita Aliychuk,1,0,0,3
Antonia Moraiti,0,1,0,2
Hee-Kyung Wang,1,1,0,5
Robert Brian Mcmahon,1,0,0,3
Ulrich Robeiri,1,0,0,3
Geoff Huegill,0,1,1,3
Csaba Horvath,1,0,1,4
Song Hui Ri,0,2,0,4
Kim Vandenberg,0,0,1,1
Andrei Yakubik,0,0,1,1
Ursula Holl,0,0,1,1
David Crawshay,1,0,0,3
Jerzy Pietrzyk,0,1,0,2
Violeta Ninova,0,0,1,1
Noemi Toth,1,0,0,3
Adrian Delano Dantley,1,0,0,3
Jean-Claude Brondani,0,0,1,1
Simone Raineri,1,1,0,5
Leonard Spinks,1,0,0,3
Sharon Hambrook,0,1,0,2
Jaejin Lee,0,0,1,1
Welissa Gonzaga,1,0,0,3
Hartmut Briesenick,0,0,1,1
Jang-Soon Park,1,2,0,7
Jeff Pfaendtner,0,0,1,1
Dmitriy Dobroskok,0,0,1,1
Olaf Heukrodt,1,2,2,9
Nikolai Gorbachev,1,0,0,3
Andrei Cherkasov,0,0,1,1
Gueorgui Pogossov,1,1,0,5
John Gall,0,0,1,1
Rajko Jokanovic,0,0,1,1
Tamara Crow,0,0,1,1
Maria Vadasz,0,0,1,1
Tom Malchow,1,1,0,5
Fei Ge,2,0,0,6
Xavi Arnau,0,1,0,2
Ricardo Rojas,0,0,1,1
Hiroshi Kajiyama,1,0,1,4
Claudette Herbster-josland,0,1,0,2
Francesco Damiani,0,1,0,2
Ronaldo Senfft,0,1,0,2
Christina Heinich,0,1,0,2
Mario Aldo Montano,1,2,0,7
Vera Zvonareva,0,0,1,1
JYrgen Bertow,0,0,1,1
Kyoko Ishida,0,0,1,1
