Name,Country,"Height, cm","Weight, kg",Gender,DOB,Sport,Event
Ryan Lochte,United States of America,188,88,M,3-Aug-84,Swimming,"Men's 200m Freestyle, Men's 200m Backstroke, Men's 200m Individual Medley, Men's 400m Individual Medley, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay"
Alicia Coutts,Australia,176,69,F,14-Sep-87,Swimming,"Women's 100m Butterfly, Women's 200m Individual Medley, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay"
Michael Phelps,United States of America,193,88,M,30-Jun-85,Swimming,"Men's 100m Butterfly, Men's 200m Butterfly, Men's 200m Individual Medley, Men's 400m Individual Medley, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
Allison Schmitt,United States of America,185,74,F,7-Jun-90,Swimming,"Women's 200m Freestyle, Women's 400m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay"
Yannick Agnel,France,202,90,M,9-Jun-92,Swimming,"Men's 100m Freestyle, Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
Missy Franklin,United States of America,185,75,F,10-May-95,Swimming,"Women's 100m Freestyle, Women's 200m Freestyle, Women's 100m Backstroke, Women's 200m Backstroke, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay"
Camille Muffat,France,183,71,F,28-Oct-89,Swimming,"Women's 200m Freestyle, Women's 400m Freestyle, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay"
Yang Sun,People's Republic of China,198,89,M,1-Dec-91,Swimming,"Men's 200m Freestyle, Men's 400m Freestyle, Men's 1500m Freestyle, Men's 4x200m Freestyle Relay"
Nathan Adrian,United States of America,201,102,M,7-Dec-88,Swimming,"Men's 100m Freestyle, Men's 4x100m Freestyle Relay"
Sandra Auffarth,Germany,170,58,F,27-Dec-86,Equestrian,"Individual Eventing, Team Eventing, OPGUN LOUVO"
Bronte Barratt,Australia,171,59,F,8-Feb-89,Swimming,"Women's 200m Freestyle, Women's 400m Freestyle, Women's 4x200m Freestyle Relay"
Ricky Berens,United States of America,188,93,M,21-Apr-88,Swimming,"Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay"
Bo Bae Ki,Republic of Korea,168,55,F,20-Feb-88,Archery,"Women's Individual, Women's Team"
Elisa Di Francisca,Italy,177,65,F,13-Dec-82,Fencing,"Women's Individual Foil, Women's Team Foil"
Gabrielle Douglas,United States of America,150,49,F,31-Dec-95,Gymnastics,"Women's Individual All-Around, Women's Team, Women's Qualification"
Brittany Elmslie,Australia,179,73,F,19-Jun-94,Swimming,"Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay"
Arianna Errigo,Italy,180,64,F,6-Jun-88,Fencing,"Women's Individual Foil, Women's Team Foil"
Matthew Grevers,United States of America,203,104,M,26-Mar-85,Swimming,"Men's 100m Backstroke, Men's 4x100m Freestyle Relay, Men's 4x100m Medley Relay"
Ryosuke Irie,Japan,178,62,M,24-Jan-90,Swimming,"Men's 100m Backstroke, Men's 200m Backstroke, Men's 4x100m Medley Relay"
Michael Jung,Germany,170,68,M,31-Jul-82,Equestrian,"Individual Eventing, Team Eventing, SAM"
Victoria Komova,Russian Federation,150,48,F,30-Jan-95,Gymnastics,"Women's Individual All-Around, Women's Team, Women's Qualification"
Olena Kostevych,Ukraine,162,54,F,14-Apr-85,Shooting,"Women's 10m Air Pistol, Women's 25m Pistol"
Clement Lefert,France,185,68,M,26-Sep-87,Swimming,"Men's 100m Butterfly, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
Amaury Leveaux,France,202,92,M,2-Dec-85,Swimming,"Men's 50m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay"
Aliya Mustafina,Russian Federation,162,48,F,30-Sep-94,Gymnastics,"Women's Individual All-Around, Women's Team, Women's Qualification"
Jin Hyek Oh,Republic of Korea,182,100,M,15-Aug-81,Archery,"Men's Individual, Men's Team"
Ranomi Kromowidjojo,Netherlands,179,69,F,20-Aug-90,Swimming,"Women's 50m Freestyle, Women's 100m Freestyle, Women's 4x100m Freestyle Relay"
