Name,Popularity,Rank
Pikachu,68300000,0
Abra,55300000,1
Electrode,54600000,2
Paras,47800000,3
Klang,46700000,4
Aron,40700000,5
Mew,36700000,6
Onix,33700000,7
Ditto,28700000,8
Ho-Oh,27500000,9
Lombre,27400000,10
Jynx,27200000,11
Natu,24000000,12
Muk,21400000,13
Golem,21000000,14
Gloom,20000000,15
Kabuto,18000000,16
Minun,15100000,17
Eevee,13100000,18
Charizard,12800000,19
Seel,12800000,20
Hypno,12600000,21
Mewtwo,10900000,22
Squirtle,10200000,23
Charmander,9600000,24
Munna,8600000,25
Klink,7770000,26
Bulbasaur,7150000,27
Lucario,6280000,28
Umbreon,6050000,29
Yveltal,6010000,30
Snorlax,5980000,31
Pichu,5900000,32
Celebi,5310000,33
Volbeat,4990000,34
Absol,4910000,35
Raichu,4830000,36
Dragonite,4770000,37
Gengar,4690000,38
Blastoise,4600000,39
Lugia,4540000,40
Zangoose,4530000,41
Slowpoke,4440000,42
Vaporeon,4430000,43
Gyarados,4090000,44
Arceus,4060000,45
Chespin,4030000,46
Jigglypuff,3910000,47
Rayquaza,3820000,48
Gardevoir,3740000,49
Mr. Mime,3690000,50
Patrat,3650000,51
Magikarp,3640000,52
Espeon,3620000,53
Flareon,3480000,54
Jolteon,3430000,55
Sylveon,3370000,56
Haunter,3320000,57
Venusaur,3310000,58
Meowth,3220000,59
Dragonair,3130000,60
Deoxys,3120000,61
Greninja,3070000,62
Seaking,2970000,63
Lapras,2960000,64
Blaziken,2910000,65
Shieldon,2890000,66
Vulpix,2880000,67
Articuno,2840000,68
Noibat,2830000,69
Groudon,2780000,70
Darkrai,2780000,71
Feebas,2730000,72
Glaceon,2670000,73
Zapdos,2640000,74
Arcanine,2620000,75
Kyogre,2610000,76
Latios,2560000,77
Krabby,2540000,78
Alakazam,2480000,79
Jirachi,2460000,80
Mudkip,2390000,81
Suicune,2340000,82
Latias,2330000,83
Ninjask,2320000,84
Leafeon,2280000,85
Zoroark,2280000,86
Ninetales,2250000,87
Moltres,2210000,88
Psyduck,2200000,89
Altaria,2190000,90
Chatot,2170000,91
Entei,2150000,92
Dratini,2120000,93
Pidgey,2100000,94
Giratina,2100000,95
Roselia,2090000,96
Charmeleon,2070000,97
Zygarde,2040000,98
Luxio,2010000,99
Dialga,2010000,100
Snivy,1990000,101
Kadabra,1980000,102
Pancham,1920000,103
Tauros,1910000,104
Zekrom,1910000,105
Zubat,1880000,106
Clefairy,1870000,107
Reshiram,1860000,108
Tangela,1840000,109
Pinsir,1840000,110
Kyurem,1760000,111
Ponyta,1750000,112
Rattata,1740000,113
Shaymin,1740000,114
Xerneas,1740000,115
Cubone,1730000,116
Togepi,1720000,117
Raikou,1720000,118
Sandile,1720000,119
